0 32 59 1 1 -1
0 1  2 1 -1
0 7  61 0.363636 -1
0 5  61 0.363636 -1
0 11 7 62 0.428571 -1
0 58  62 0.571429 -1
0   63 0.25 -1
0 51  63 0.5 -1
0   63 0.25 -1
0 11 62 64 1 -1
0 7  65 1 -1
0 18 1 66 0.375 -1
0   66 0.25 -1
0 68 52 66 0.375 -1
0 41  67 0.571429 -1
0 35 7 67 0.428571 -1
0 47  68 1 -1
0   69 0.25 -1
0 60  69 0.5 -1
0   69 0.25 -1
1 38 47 0 1 -1
1 69 17 2 0.428571 -1
1 47  2 0.571429 -1
1   3 0.222222 -1
1 2 63 3 0.333333 -1
1 23  3 0.444444 -1
1 27 52 4 0.5 -1
1 63 42 4 0.5 -1
1   5 0.5 -1
1   5 0.5 -1
1 11  6 0.4 -1
1 8  6 0.4 -1
1   6 0.2 -1
1 25  7 0.5 -1
1 24  7 0.5 -1
1   8 1 -1
1   9 0.333333 -1
1   9 0.333333 -1
1   9 0.333333 -1
1 45 18 10 1 -1
1   11 0.5 -1
1   11 0.5 -1
1 59 0 12 0.5 -1
1 53 7 12 0.5 -1
1   13 1 -1
1 53 68 14 0.6 -1
1   14 0.4 -1
1   15 0.25 -1
1   15 0.25 -1
1 32  15 0.5 -1
1 35 7 16 0.6 -1
1   16 0.4 -1
1 5  17 0.4 -1
1   17 0.2 -1
1 68  17 0.4 -1
1   18 0.25 -1
1 63 27 18 0.375 -1
1 3 68 18 0.375 -1
1 61 34 19 0.3 -1
1 64  19 0.4 -1
1 16 47 19 0.3 -1
1 57 44 20 0.272727 -1
1 50  20 0.363636 -1
1 52  20 0.363636 -1
1 44  21 0.571429 -1
1 40 0 21 0.428571 -1
1   22 0.333333 -1
1 58  22 0.666667 -1
1   23 0.222222 -1
1 10 18 23 0.333333 -1
1 64  23 0.444444 -1
1 43 6 24 1 -1
1 32 30 25 0.5 -1
1 5 58 25 0.5 -1
1   26 1 -1
1 63  27 0.444444 -1
1 7 39 27 0.333333 -1
1   27 0.222222 -1
1 53 44 28 0.333333 -1
1 61 68 28 0.333333 -1
1 48 21 28 0.333333 -1
1 45  29 0.5 -1
1 40  29 0.5 -1
1 18  30 0.571429 -1
1 22 19 30 0.428571 -1
1   31 0.4 -1
1 44 11 31 0.6 -1
1 6  32 0.666667 -1
1   32 0.333333 -1
1 19  33 0.363636 -1
1 18 25 33 0.272727 -1
1 20  33 0.363636 -1
1 25  34 1 -1
1   35 0.222222 -1
1 19  35 0.444444 -1
1 10 32 35 0.333333 -1
1 51  36 0.4 -1
1   36 0.2 -1
1 66  36 0.4 -1
1 55 23 37 0.5 -1
1 66 7 37 0.5 -1
1 6 51 38 0.6 -1
1   38 0.4 -1
1   39 0.222222 -1
1 52  39 0.444444 -1
1 47 35 39 0.333333 -1
1 10 35 40 0.375 -1
1 45 35 40 0.375 -1
1   40 0.25 -1
1 6 49 41 0.333333 -1
1   41 0.222222 -1
1 58  41 0.444444 -1
1 7 63 42 0.6 -1
1   42 0.4 -1
1   43 0.333333 -1
1   43 0.333333 -1
1   43 0.333333 -1
1 68 25 44 0.5 -1
1 57 45 44 0.5 -1
1 56 35 45 1 -1
1 34 27 46 0.428571 -1
1 18  46 0.571429 -1
1 45  47 0.571429 -1
1 64 33 47 0.428571 -1
1 2 64 48 0.5 -1
1 46 45 48 0.5 -1
1   49 1 -1
1 2 64 50 1 -1
1 44 0 51 0.5 -1
1 25 42 51 0.5 -1
1 68 5 52 0.333333 -1
1 64  52 0.444444 -1
1   52 0.222222 -1
1 50 8 53 0.272727 -1
1 63  53 0.363636 -1
1 21  53 0.363636 -1
1 2 42 54 1 -1
1 61 41 55 1 -1
1   56 0.4 -1
1 59 67 56 0.6 -1
1 69  57 0.571429 -1
1 51 31 57 0.428571 -1
1   58 0.25 -1
1 46 36 58 0.375 -1
1 31 51 58 0.375 -1
1 8  59 0.666667 -1
1   59 0.333333 -1
1   60 1 -1
1 55 4 61 1 -1
1   62 0.4 -1
1 41 7 62 0.6 -1
1   63 0.5 -1
1   63 0.5 -1
1 19  64 0.571429 -1
1 43 34 64 0.428571 -1
1   65 0.25 -1
1   65 0.25 -1
1 35  65 0.5 -1
1 2 6 66 1 -1
1 62  67 0.571429 -1
1 41 49 67 0.428571 -1
1 24  68 0.666667 -1
1   68 0.333333 -1
1 55 47 69 1 -1
2 44  0 1 -1
2   1 0.333333 -1
2 65  1 0.666667 -1
2 36  3 0.666667 -1
2   3 0.333333 -1
2 48 27 4 0.3 -1
2 5  4 0.4 -1
2 1 52 4 0.3 -1
2 57  5 0.666667 -1
2   5 0.333333 -1
2 67  6 0.666667 -1
2   6 0.333333 -1
2 23 30 7 1 -1
2   8 1 -1
2 35  9 0.5 -1
2 50  9 0.5 -1
2 63 30 10 1 -1
2 10 54 11 0.428571 -1
2   11 0.285714 -1
2   11 0.285714 -1
2 19 18 12 0.333333 -1
2 13 58 12 0.333333 -1
2 26 58 12 0.333333 -1
2   13 0.333333 -1
2 62  13 0.666667 -1
2 35  14 0.5 -1
2 68  14 0.5 -1
2   15 1 -1
2 7 1 16 1 -1
2   17 0.333333 -1
2 5  17 0.666667 -1
2 65 58 18 0.6 -1
2   18 0.4 -1
2 10  19 0.666667 -1
2   19 0.333333 -1
2   20 1 -1
2 16 51 21 0.5 -1
2 63 64 21 0.5 -1
2 11 26 22 0.428571 -1
2 36  22 0.571429 -1
2 11 5 23 1 -1
2   24 0.333333 -1
2 68  24 0.666667 -1
2 45  25 1 -1
2   26 0.333333 -1
2   26 0.333333 -1
2   26 0.333333 -1
2 8  27 0.444444 -1
2   27 0.222222 -1
2 10 62 27 0.333333 -1
2   28 1 -1
2 0  29 1 -1
2   30 0.222222 -1
2 7 19 30 0.333333 -1
2 8  30 0.444444 -1
2   31 0.5 -1
2   31 0.5 -1
2 63 5 32 0.3 -1
2 21 49 32 0.3 -1
2 48  32 0.4 -1
2 43 42 33 0.272727 -1
2 63  33 0.363636 -1
2 53  33 0.363636 -1
2 17 62 34 0.375 -1
2   34 0.25 -1
2 21 16 34 0.375 -1
2 41  35 1 -1
2 43  36 1 -1
2 40 1 37 1 -1
2 52 56 38 0.6 -1
2   38 0.4 -1
2 53 55 39 0.3 -1
2 43 3 39 0.3 -1
2 59  39 0.4 -1
2 67 63 40 0.428571 -1
2 69  40 0.571429 -1
2 26 3 41 1 -1
2 11 61 42 0.6 -1
2   42 0.4 -1
2 52 18 43 0.3 -1
2 19  43 0.4 -1
2 20 53 43 0.3 -1
2   44 0.285714 -1
2   44 0.285714 -1
2 36 10 44 0.428571 -1
2 15 53 45 0.428571 -1
2   45 0.285714 -1
2   45 0.285714 -1
2 20 6 46 0.428571 -1
2 60  46 0.571429 -1
2 59  47 0.571429 -1
2 52 32 47 0.428571 -1
2   48 0.333333 -1
2 7  48 0.666667 -1
2   49 0.4 -1
2 66 45 49 0.6 -1
2 36 68 50 0.333333 -1
2 10 68 50 0.333333 -1
2 61 10 50 0.333333 -1
2 54 17 51 0.3 -1
2 18  51 0.4 -1
2 45 7 51 0.3 -1
2   52 0.4 -1
2 19 8 52 0.6 -1
2   53 0.333333 -1
2 25  53 0.666667 -1
2 7 32 54 0.3 -1
2 23  54 0.4 -1
2 33 23 54 0.3 -1
2   55 1 -1
2   56 0.285714 -1
2   56 0.285714 -1
2 46 63 56 0.428571 -1
2 45  57 0.571429 -1
2 7 69 57 0.428571 -1
2 43  58 1 -1
2 33 34 59 0.6 -1
2   59 0.4 -1
2 32 11 60 0.428571 -1
2 52  60 0.571429 -1
2 64  61 1 -1
2 43 35 62 1 -1
2 68 21 63 1 -1
2   64 1 -1
2   65 0.285714 -1
2 48 1 65 0.428571 -1
2   65 0.285714 -1
2 7 50 66 0.428571 -1
2 61  66 0.571429 -1
2   67 0.285714 -1
2 8 66 67 0.428571 -1
2   67 0.285714 -1
2 12 57 68 0.6 -1
2   68 0.4 -1
2 58 63 69 0.333333 -1
2   69 0.222222 -1
2 10  69 0.444444 -1
3 47 43 0 0.375 -1
3 62 6 0 0.375 -1
3   0 0.25 -1
3 8  1 1 -1
3 60  2 1 -1
3 48  4 1 -1
3 35  5 0.5 -1
3 16  5 0.5 -1
3 11 40 6 0.272727 -1
3 7  6 0.363636 -1
3 55  6 0.363636 -1
3 5  7 0.5 -1
3   7 0.25 -1
3   7 0.25 -1
3 31  8 1 -1
3 59  9 0.571429 -1
3 27 51 9 0.428571 -1
3 13 63 10 0.6 -1
3   10 0.4 -1
3   11 1 -1
3   12 0.222222 -1
3 35 27 12 0.333333 -1
3 31  12 0.444444 -1
3   13 1 -1
3 6 27 14 1 -1
3 16 43 15 1 -1
3   16 1 -1
3 66  17 1 -1
3 5 47 18 0.6 -1
3   18 0.4 -1
3 62  19 0.571429 -1
3 46 11 19 0.428571 -1
3   20 0.333333 -1
3 25  20 0.666667 -1
3 40  21 1 -1
3 35  22 0.5 -1
3 30  22 0.5 -1
3 42 31 23 0.3 -1
3 53 22 23 0.3 -1
3 1  23 0.4 -1
3 64 55 24 0.5 -1
3 64 1 24 0.5 -1
3 10 64 25 1 -1
3 58  26 0.333333 -1
3 64  26 0.333333 -1
3 40  26 0.333333 -1
3 49  27 0.5 -1
3 64  27 0.5 -1
3 2 35 28 0.333333 -1
3   28 0.222222 -1
3 36  28 0.444444 -1
3 67 53 29 1 -1
3 49  30 1 -1
3 64 59 31 0.375 -1
3   31 0.25 -1
3 64 59 31 0.375 -1
3 11  32 0.666667 -1
3   32 0.333333 -1
3   33 0.285714 -1
3 7 35 33 0.428571 -1
3   33 0.285714 -1
3 7  34 0.5 -1
3 31  34 0.5 -1
3 50 63 35 1 -1
3 53  36 1 -1
3 31 41 37 0.375 -1
3   37 0.25 -1
3 21 59 37 0.375 -1
3 64 66 38 1 -1
3 0 21 39 0.5 -1
3 56 10 39 0.5 -1
3   40 0.4 -1
3 29 33 40 0.6 -1
3   41 1 -1
3 34  42 1 -1
3   43 0.333333 -1
3 68  43 0.666667 -1
3   44 1 -1
3 48  45 0.4 -1
3 10  45 0.4 -1
3   45 0.2 -1
3   46 0.4 -1
3 42 47 46 0.6 -1
3 31  47 0.5 -1
3 27  47 0.5 -1
3   48 0.25 -1
3 64  48 0.5 -1
3   48 0.25 -1
3 5 66 49 0.428571 -1
3 43  49 0.571429 -1
3   50 1 -1
3 11 45 51 0.375 -1
3   51 0.25 -1
3 43 24 51 0.375 -1
3 69 18 52 0.428571 -1
3 19  52 0.571429 -1
3 7  53 0.571429 -1
3 18 37 53 0.428571 -1
3   54 0.4 -1
3 18 16 54 0.6 -1
3 24  55 0.666667 -1
3   55 0.333333 -1
3 51  56 1 -1
3 66 55 57 1 -1
3   58 0.25 -1
3   58 0.25 -1
3 11  58 0.5 -1
3 20 5 59 1 -1
3 51 47 60 1 -1
3   61 0.333333 -1
3 62  61 0.666667 -1
3 43 31 62 0.428571 -1
3 53  62 0.571429 -1
3 64  63 0.571429 -1
3 35 60 63 0.428571 -1
3 32 59 64 0.6 -1
3   64 0.4 -1
3   65 0.5 -1
3   65 0.5 -1
3 32  66 0.571429 -1
3 53 11 66 0.428571 -1
3 61  67 0.333333 -1
3 59  67 0.333333 -1
3 1  67 0.333333 -1
3 43  68 1 -1
3 19 6 69 1 -1
4 27 56 0 0.6 -1
4   0 0.4 -1
4 47 22 1 0.428571 -1
4 48  1 0.571429 -1
4 63  2 0.4 -1
4   2 0.2 -1
4 65  2 0.4 -1
4 33  3 1 -1
4   5 0.222222 -1
4 17 27 5 0.333333 -1
4 52  5 0.444444 -1
4 18 68 6 0.3 -1
4 58 53 6 0.3 -1
4 1  6 0.4 -1
4 33 53 7 1 -1
4 50 63 8 0.375 -1
4 11 68 8 0.375 -1
4   8 0.25 -1
4 62 52 9 0.3 -1
4 44 36 9 0.3 -1
4 43  9 0.4 -1
4 62  10 1 -1
4   11 1 -1
4 27 11 12 0.5 -1
4 5 19 12 0.5 -1
4   13 0.333333 -1
4   13 0.333333 -1
4   13 0.333333 -1
4 5  14 0.571429 -1
4 52 30 14 0.428571 -1
4   15 0.4 -1
4 43 66 15 0.6 -1
4 18  16 1 -1
4 67 33 17 0.428571 -1
4 25  17 0.571429 -1
4 66 32 18 0.428571 -1
4 48  18 0.571429 -1
4 23  19 0.571429 -1
4 21 55 19 0.428571 -1
4   20 1 -1
4 7  21 0.571429 -1
4 47 60 21 0.428571 -1
4 41 59 22 0.6 -1
4   22 0.4 -1
4 43 66 23 1 -1
4 23 0 24 0.333333 -1
4 20  24 0.444444 -1
4   24 0.222222 -1
4 61 56 25 0.375 -1
4   25 0.25 -1
4 51 7 25 0.375 -1
4 62  26 0.666667 -1
4   26 0.333333 -1
4 5  27 0.363636 -1
4 7  27 0.363636 -1
4 59 2 27 0.272727 -1
4   28 1 -1
4 6  29 1 -1
4   30 1 -1
4   31 0.25 -1
4 59 18 31 0.375 -1
4 47 15 31 0.375 -1
4   32 1 -1
4 59 18 33 0.6 -1
4   33 0.4 -1
4 6  34 1 -1
4 40  35 0.4 -1
4   35 0.2 -1
4 1  35 0.4 -1
4   36 0.222222 -1
4 6 47 36 0.333333 -1
4 10  36 0.444444 -1
4   37 1 -1
4 55 49 38 1 -1
4 45  39 0.5 -1
4 32  39 0.5 -1
4   40 1 -1
4 16 8 41 0.428571 -1
4 1  41 0.571429 -1
4 18  42 0.666667 -1
4   42 0.333333 -1
4   43 0.25 -1
4   43 0.25 -1
4 1  43 0.5 -1
4 66  44 0.571429 -1
4 2 29 44 0.428571 -1
4 48  45 0.363636 -1
4 47  45 0.363636 -1
4 15 6 45 0.272727 -1
4   46 0.333333 -1
4 40  46 0.666667 -1
4 10 20 47 0.428571 -1
4   47 0.285714 -1
4   47 0.285714 -1
4 17 55 48 1 -1
4 58  49 1 -1
4 5 59 50 1 -1
4 8 35 51 0.333333 -1
4 32 69 51 0.333333 -1
4 36 30 51 0.333333 -1
4 5  52 0.5 -1
4 31  52 0.5 -1
4 63  53 1 -1
4   54 0.333333 -1
4 23  54 0.666667 -1
4 59  55 0.363636 -1
4 66 43 55 0.272727 -1
4 35  55 0.363636 -1
4   56 0.25 -1
4 47 36 56 0.375 -1
4 7 31 56 0.375 -1
4 62  57 0.5 -1
4 2  57 0.5 -1
4 12  58 0.4 -1
4 11  58 0.4 -1
4   58 0.2 -1
4 41  59 1 -1
4 68  60 1 -1
4 57  61 0.5 -1
4 11  61 0.5 -1
4 5 20 62 0.6 -1
4   62 0.4 -1
4 5 55 63 1 -1
4   64 0.333333 -1
4 11  64 0.666667 -1
4 7 50 65 0.5 -1
4 43 69 65 0.5 -1
4   66 1 -1
4 8 30 67 1 -1
4 6  68 1 -1
4   69 1 -1
5   0 1 -1
5   1 0.4 -1
5 2 51 1 0.6 -1
5 8  2 0.666667 -1
5   2 0.333333 -1
5 2 50 3 1 -1
5 33  4 1 -1
5   6 1 -1
5   7 0.222222 -1
5 40 52 7 0.333333 -1
5 25  7 0.444444 -1
5 44  8 0.4 -1
5   8 0.2 -1
5 53  8 0.4 -1
5 61  9 0.571429 -1
5 51 18 9 0.428571 -1
5 50 11 10 0.6 -1
5   10 0.4 -1
5 35 16 11 0.5 -1
5 40 35 11 0.5 -1
5   12 0.5 -1
5   12 0.5 -1
5   13 1 -1
5 32  14 0.444444 -1
5 47 58 14 0.333333 -1
5   14 0.222222 -1
5 44 65 15 0.5 -1
5 2 47 15 0.5 -1
5 59  16 1 -1
5 30 63 17 0.333333 -1
5   17 0.222222 -1
5 55  17 0.444444 -1
5 4 63 18 0.5 -1
5 6 65 18 0.5 -1
5 17 54 19 0.375 -1
5   19 0.25 -1
5 33 6 19 0.375 -1
5 2  20 0.666667 -1
5   20 0.333333 -1
5 60  21 0.666667 -1
5   21 0.333333 -1
5   22 0.333333 -1
5   22 0.333333 -1
5   22 0.333333 -1
5   23 0.25 -1
5 19 27 23 0.375 -1
5 64 51 23 0.375 -1
5 54  24 0.666667 -1
5   24 0.333333 -1
5 53  25 0.444444 -1
5   25 0.222222 -1
5 18 20 25 0.333333 -1
5   26 0.5 -1
5   26 0.5 -1
5 55  27 0.333333 -1
5 35  27 0.333333 -1
5 42  27 0.333333 -1
5   28 0.5 -1
5   28 0.5 -1
5 58 66 29 1 -1
5 19  30 1 -1
5 15  31 0.666667 -1
5   31 0.333333 -1
5   32 0.333333 -1
5 47  32 0.666667 -1
5 55 48 33 1 -1
5 53 63 34 0.6 -1
5   34 0.4 -1
5 43  35 0.5 -1
5 19  35 0.5 -1
5   36 0.4 -1
5 62 2 36 0.6 -1
5   37 1 -1
5 36 7 38 0.6 -1
5   38 0.4 -1
5   39 0.5 -1
5   39 0.5 -1
5   40 0.285714 -1
5 1 51 40 0.428571 -1
5   40 0.285714 -1
5   41 0.25 -1
5   41 0.25 -1
5 35  41 0.5 -1
5 51  42 0.5 -1
5 68  42 0.5 -1
5 14 4 43 1 -1
5 10  44 0.444444 -1
5 19 2 44 0.333333 -1
5   44 0.222222 -1
5 62 55 45 1 -1
5   46 0.25 -1
5 31  46 0.5 -1
5   46 0.25 -1
5 45  47 0.5 -1
5 40  47 0.5 -1
5   48 0.285714 -1
5   48 0.285714 -1
5 1 63 48 0.428571 -1
5 33 19 49 1 -1
5 64  50 0.571429 -1
5 66 25 50 0.428571 -1
5   51 0.4 -1
5 7 52 51 0.6 -1
5   52 1 -1
5 42 11 53 0.333333 -1
5 32  53 0.444444 -1
5   53 0.222222 -1
5 30 63 54 0.333333 -1
5   54 0.222222 -1
5 17  54 0.444444 -1
5   55 0.222222 -1
5 18  55 0.444444 -1
5 8 19 55 0.333333 -1
5 11  56 0.444444 -1
5 45 58 56 0.333333 -1
5   56 0.222222 -1
5 66 33 57 1 -1
5 7  58 0.444444 -1
5   58 0.222222 -1
5 11 59 58 0.333333 -1
5   59 1 -1
5 20  60 0.666667 -1
5   60 0.333333 -1
5 63 46 61 1 -1
5   62 0.2 -1
5 6  62 0.4 -1
5 55  62 0.4 -1
5 64 8 63 0.5 -1
5 4 33 63 0.5 -1
5 55 6 64 1 -1
5 42  65 0.4 -1
5 27 17 65 0.3 -1
5 10 8 65 0.3 -1
5 31  66 0.5 -1
5 11  66 0.5 -1
5 35  67 1 -1
5 51 10 68 0.6 -1
5   68 0.4 -1
5 35 32 69 0.375 -1
5 42 8 69 0.375 -1
5   69 0.25 -1
6   0 0.333333 -1
6 52  0 0.666667 -1
6 61  1 0.5 -1
6 3  1 0.5 -1
6 58 31 2 0.333333 -1
6 58  2 0.444444 -1
6   2 0.222222 -1
6   3 0.4 -1
6 53 35 3 0.6 -1
6   4 0.333333 -1
6 57  4 0.666667 -1
6 2 1 5 1 -1
6 45  7 1 -1
6 5  8 1 -1
6 30  9 0.666667 -1
6   9 0.333333 -1
6   10 0.25 -1
6 40 33 10 0.375 -1
6 54 59 10 0.375 -1
6 7 31 11 0.5 -1
6 2 36 11 0.5 -1
6   12 0.4 -1
6 17 36 12 0.6 -1
6 69 16 13 1 -1
6 5 11 14 1 -1
6 44 46 15 1 -1
6 40  16 0.363636 -1
6 26 5 16 0.272727 -1
6 8  16 0.363636 -1
6 47 45 17 1 -1
6 59 8 18 0.333333 -1
6   18 0.222222 -1
6 42  18 0.444444 -1
6 47  19 1 -1
6 17 47 20 1 -1
6 40 11 21 0.333333 -1
6   21 0.222222 -1
6 30  21 0.444444 -1
6 11  22 1 -1
6 40 44 23 0.375 -1
6 27 42 23 0.375 -1
6   23 0.25 -1
6 64  24 0.444444 -1
6 40 32 24 0.333333 -1
6   24 0.222222 -1
6 33  25 0.571429 -1
6 11 18 25 0.428571 -1
6 17  26 1 -1
6 59  27 0.571429 -1
6 8 32 27 0.428571 -1
6 67 51 28 1 -1
6 10  29 0.666667 -1
6   29 0.333333 -1
6 63  30 1 -1
6 23 2 31 0.428571 -1
6   31 0.285714 -1
6   31 0.285714 -1
6   32 1 -1
6   33 0.5 -1
6   33 0.5 -1
6 1  34 0.666667 -1
6   34 0.333333 -1
6   35 0.2 -1
6 55  35 0.4 -1
6 1  35 0.4 -1
6 25  36 1 -1
6   37 0.4 -1
6 52 29 37 0.6 -1
6 62 50 38 1 -1
6   39 1 -1
6 57  40 0.363636 -1
6 16 10 40 0.272727 -1
6 7  40 0.363636 -1
6 26 11 41 0.5 -1
6 36 45 41 0.5 -1
6   42 0.4 -1
6 1 48 42 0.6 -1
6   43 0.5 -1
6   43 0.5 -1
6 41  44 1 -1
6 17  45 0.5 -1
6 62  45 0.5 -1
6 20  46 0.4 -1
6   46 0.2 -1
6 63  46 0.4 -1
6   47 1 -1
6   48 1 -1
6   49 1 -1
6   50 1 -1
6 2 43 51 0.3 -1
6 1  51 0.4 -1
6 8 47 51 0.3 -1
6 16  52 0.363636 -1
6 8 45 52 0.272727 -1
6 53  52 0.363636 -1
6   53 0.4 -1
6 48 52 53 0.6 -1
6 40 61 54 0.333333 -1
6   54 0.222222 -1
6 10  54 0.444444 -1
6 66  55 1 -1
6   56 0.25 -1
6 53  56 0.5 -1
6   56 0.25 -1
6   57 0.4 -1
6 45 68 57 0.6 -1
6   58 0.222222 -1
6 31 26 58 0.333333 -1
6 23  58 0.444444 -1
6 2 32 59 1 -1
6   60 0.4 -1
6 63 11 60 0.6 -1
6 43 1 61 0.3 -1
6 23 53 61 0.3 -1
6 66  61 0.4 -1
6 47  62 0.666667 -1
6   62 0.333333 -1
6 62  63 0.4 -1
6 2 47 63 0.3 -1
6 23 17 63 0.3 -1
6 30  64 1 -1
6 38 33 65 0.5 -1
6 18 46 65 0.5 -1
6   66 1 -1
6   67 0.333333 -1
6 7  67 0.666667 -1
6   68 1 -1
6 25  69 0.333333 -1
6 1  69 0.333333 -1
6 11  69 0.333333 -1
7   0 1 -1
7 57 59 1 1 -1
7 32  2 0.5 -1
7 23  2 0.5 -1
7   3 0.25 -1
7   3 0.25 -1
7 67  3 0.5 -1
7 2  4 0.4 -1
7 64 40 4 0.3 -1
7 45 20 4 0.3 -1
7 51  5 0.363636 -1
7 66  5 0.363636 -1
7 18 47 5 0.272727 -1
7   6 0.4 -1
7 58 2 6 0.6 -1
7 61 18 8 1 -1
7 29 55 9 1 -1
7 52 19 10 0.428571 -1
7 58  10 0.571429 -1
7 12 22 11 1 -1
7 27  12 0.363636 -1
7 59  12 0.363636 -1
7 43 38 12 0.272727 -1
7   13 1 -1
7 34 43 14 0.375 -1
7   14 0.25 -1
7 18 49 14 0.375 -1
7 63  15 0.666667 -1
7   15 0.333333 -1
7 17  16 1 -1
7   17 0.333333 -1
7 18  17 0.666667 -1
7   18 0.25 -1
7   18 0.25 -1
7 31  18 0.5 -1
7   19 1 -1
7   20 0.4 -1
7 10 42 20 0.6 -1
7 45  21 0.363636 -1
7 18 43 21 0.272727 -1
7 58  21 0.363636 -1
7 55 69 22 0.428571 -1
7 59  22 0.571429 -1
7   23 0.25 -1
7 43 17 23 0.375 -1
7 47 16 23 0.375 -1
7   24 0.4 -1
7 50 45 24 0.6 -1
7 47  25 1 -1
7 21 59 26 0.333333 -1
7 45 64 26 0.333333 -1
7 42 63 26 0.333333 -1
7   27 1 -1
7 17  28 0.5 -1
7   28 0.25 -1
7   28 0.25 -1
7 66 63 29 0.5 -1
7 8 32 29 0.5 -1
7   30 1 -1
7 40  31 1 -1
7 22 53 32 1 -1
7 66  33 0.363636 -1
7 41 27 33 0.272727 -1
7 55  33 0.363636 -1
7 2 50 34 0.333333 -1
7 36  34 0.444444 -1
7   34 0.222222 -1
7 38  35 0.4 -1
7   35 0.2 -1
7 8  35 0.4 -1
7 63  36 0.666667 -1
7   36 0.333333 -1
7 5  37 0.666667 -1
7   37 0.333333 -1
7 36  38 0.444444 -1
7 19 4 38 0.333333 -1
7   38 0.222222 -1
7   39 0.333333 -1
7 25  39 0.666667 -1
7   40 1 -1
7 6  41 1 -1
7 49  42 0.4 -1
7   42 0.2 -1
7 65  42 0.4 -1
7 61 5 43 0.375 -1
7   43 0.25 -1
7 51 0 43 0.375 -1
7 59 51 44 1 -1
7 63 10 45 0.3 -1
7 25  45 0.4 -1
7 11 19 45 0.3 -1
7 47 66 46 0.428571 -1
7 20  46 0.571429 -1
7 29  47 1 -1
7 6 21 48 1 -1
7 33 47 49 0.5 -1
7 40 50 49 0.5 -1
7 2  50 1 -1
7 69  51 1 -1
7   52 0.285714 -1
7 1 15 52 0.428571 -1
7   52 0.285714 -1
7 62  53 0.444444 -1
