0 10  1 1 -1
1 19 29 44 0.272727 -1
1 38  44 0.363636 -1
1 31  44 0.363636 -1
1   45 0.2 -1
1 33  45 0.4 -1
1 4  45 0.4 -1
1 57  46 0.666667 -1
1   46 0.333333 -1
1 39  47 1 -1
1   48 1 -1
1 52  49 0.4 -1
1 33 37 49 0.3 -1
1 16 56 49 0.3 -1
1   50 0.4 -1
1 3 52 50 0.6 -1
1 27  51 1 -1
1 40 8 52 1 -1
1   53 0.222222 -1
1 48  53 0.444444 -1
1 46 29 53 0.333333 -1
1   54 1 -1
1   55 0.2 -1
1 16  55 0.4 -1
1 3  55 0.4 -1
1 25  56 0.5 -1
1 47  56 0.5 -1
1 36 38 57 0.428571 -1
1 43  57 0.571429 -1
1 24  58 0.571429 -1
1 29 46 58 0.428571 -1
1   59 1 -1
2 42 9 0 0.5 -1
2 43 8 0 0.5 -1
2 46  1 0.333333 -1
2 48  1 0.333333 -1
2 9  1 0.333333 -1
2   3 1 -1
2 3 46 4 0.5 -1
2 45 21 4 0.5 -1
2 40 1 5 0.428571 -1
2 3  5 0.571429 -1
2   6 1 -1
2   7 0.333333 -1
2 57  7 0.666667 -1
2   8 1 -1
2   9 0.4 -1
2 8 57 9 0.6 -1
2 53  10 0.444444 -1
2 27 33 10 0.333333 -1
2   10 0.222222 -1
2   11 0.222222 -1
2 43 57 11 0.333333 -1
2 5  11 0.444444 -1
2   12 0.285714 -1
2 36 43 12 0.428571 -1
2   12 0.285714 -1
2 27  13 0.571429 -1
2 46 56 13 0.428571 -1
2   14 0.5 -1
2   14 0.5 -1
2 0  15 0.5 -1
2 35  15 0.5 -1
2 22  16 0.666667 -1
2   16 0.333333 -1
2   17 0.25 -1
2 29  17 0.5 -1
2   17 0.25 -1
2   18 1 -1
2 33 49 19 1 -1
2   20 1 -1
2 5 47 21 0.6 -1
2   21 0.4 -1
2 1  22 0.333333 -1
2 45  22 0.333333 -1
2 6  22 0.333333 -1
2 16 46 23 0.428571 -1
2 4  23 0.571429 -1
2 19  24 1 -1
2 22 19 25 1 -1
2 42  26 1 -1
2   27 0.333333 -1
2 21  27 0.666667 -1
2   28 0.285714 -1
2   28 0.285714 -1
2 13 47 28 0.428571 -1
2   29 0.4 -1
2 45 33 29 0.6 -1
2 47 3 30 0.5 -1
2 31 45 30 0.5 -1
2 24  31 0.4 -1
2   31 0.2 -1
2 59  31 0.4 -1
2   32 0.222222 -1
2 24 1 32 0.333333 -1
2 10  32 0.444444 -1
2 43  33 0.363636 -1
2 27 24 33 0.272727 -1
2 57  33 0.363636 -1
2 0 45 34 0.5 -1
2 29 1 34 0.5 -1
2 33 0 35 0.3 -1
2 46 53 35 0.3 -1
2 4  35 0.4 -1
2 29  36 1 -1
2 56 0 37 0.428571 -1
2 31  37 0.571429 -1
2 24  38 1 -1
2 1  39 1 -1
2 24 19 40 1 -1
2   41 0.333333 -1
2 53  41 0.666667 -1
2 8  42 1 -1
2 47 4 43 0.333333 -1
2   43 0.222222 -1
2 7  43 0.444444 -1
2   44 1 -1
2   45 1 -1
2   46 1 -1
2 13 30 47 0.272727 -1
2 56  47 0.363636 -1
2 31  47 0.363636 -1
2 6  48 0.5 -1
2 19  48 0.5 -1
2 9  49 1 -1
2   50 0.222222 -1
2 29  50 0.444444 -1
2 10 53 50 0.333333 -1
2   51 0.25 -1
2 5  51 0.5 -1
2   51 0.25 -1
2 15  52 0.666667 -1
2   52 0.333333 -1
2   53 1 -1
2 46  54 1 -1
2 57 53 55 0.375 -1
2 36 59 55 0.375 -1
2   55 0.25 -1
2 31 59 56 0.428571 -1
2 5  56 0.571429 -1
2   57 1 -1
2   58 1 -1
2 19  59 1 -1
3 7 27 0 0.428571 -1
3 1  0 0.571429 -1
3 57  1 0.4 -1
3   1 0.2 -1
3 24  1 0.4 -1
3 29 6 2 0.5 -1
3 47 39 2 0.5 -1
3 24  4 1 -1
3 56  5 0.666667 -1
3   5 0.333333 -1
3   6 1 -1
3   7 0.2 -1
3 59  7 0.4 -1
3 49  7 0.4 -1
3 17  8 0.363636 -1
3 40 27 8 0.272727 -1
3 57  8 0.363636 -1
3 31  9 0.363636 -1
3 4 17 9 0.272727 -1
3 7  9 0.363636 -1
3   10 0.333333 -1
3 42  10 0.666667 -1
3   11 0.222222 -1
3 1  11 0.444444 -1
3 29 6 11 0.333333 -1
3 27  12 1 -1
3   13 0.222222 -1
3 29 7 13 0.333333 -1
3 30  13 0.444444 -1
3   14 0.2 -1
3 24  14 0.4 -1
3 5  14 0.4 -1
3   15 0.25 -1
3 20 21 15 0.375 -1
3 29 58 15 0.375 -1
3 19 31 16 1 -1
3   17 0.25 -1
3 13 42 17 0.375 -1
3 4 12 17 0.375 -1
3   18 0.25 -1
3 5  18 0.5 -1
3   18 0.25 -1
3 24 56 19 0.375 -1
3 33 39 19 0.375 -1
3   19 0.25 -1
3   20 0.285714 -1
3 13 33 20 0.428571 -1
3   20 0.285714 -1
3 13 42 21 0.428571 -1
3 54  21 0.571429 -1
3   22 0.2 -1
3 24  22 0.4 -1
3 49  22 0.4 -1
3 57 5 23 0.3 -1
3 43  23 0.4 -1
3 56 0 23 0.3 -1
3 8  24 0.444444 -1
3 28 7 24 0.333333 -1
3   24 0.222222 -1
3   25 0.222222 -1
3 57 15 25 0.333333 -1
3 45  25 0.444444 -1
3 53 54 26 0.5 -1
3 43 36 26 0.5 -1
3   27 1 -1
3 25  28 0.363636 -1
3 1 37 28 0.272727 -1
3 8  28 0.363636 -1
3 27 1 29 0.333333 -1
3 35  29 0.444444 -1
3   29 0.222222 -1
3 5  30 0.4 -1
3 13 43 30 0.3 -1
3 28 36 30 0.3 -1
3   31 1 -1
3 46 25 32 0.428571 -1
3   32 0.285714 -1
3   32 0.285714 -1
3 6 16 33 1 -1
3   34 0.4 -1
3 30 33 34 0.6 -1
3 45 28 35 1 -1
3 47  36 0.4 -1
3   36 0.2 -1
3 13  36 0.4 -1
3   37 0.5 -1
3   37 0.5 -1
3 45  38 0.363636 -1
3 27 9 38 0.272727 -1
3 43  38 0.363636 -1
3   39 1 -1
3   40 0.222222 -1
3 25  40 0.444444 -1
3 9 29 40 0.333333 -1
3 19  41 1 -1
3 7  42 0.5 -1
3   42 0.25 -1
3   42 0.25 -1
3 17 34 43 0.333333 -1
3   43 0.222222 -1
3 53  43 0.444444 -1
3 8  44 0.571429 -1
3 54 46 44 0.428571 -1
3 54 53 45 0.375 -1
3   45 0.25 -1
3 5 16 45 0.375 -1
3 22 40 46 1 -1
3   47 1 -1
3 43  48 1 -1
3 56  49 1 -1
3 54  50 0.444444 -1
3 59 29 50 0.333333 -1
3   50 0.222222 -1
3   51 0.222222 -1
3 47  51 0.444444 -1
3 54 57 51 0.333333 -1
3 11  52 1 -1
3   53 0.4 -1
3 23 47 53 0.6 -1
3   54 0.5 -1
3   54 0.5 -1
3 16  55 0.363636 -1
3 9  55 0.363636 -1
3 5 59 55 0.272727 -1
3   56 0.5 -1
3   56 0.5 -1
3   57 0.25 -1
3   57 0.25 -1
3 35  57 0.5 -1
3   58 0.4 -1
3 37 29 58 0.6 -1
3   59 0.333333 -1
3 42  59 0.666667 -1
4   0 0.4 -1
4 59 31 0 0.6 -1
4 46 6 1 1 -1
4 57 47 2 0.428571 -1
4 53  2 0.571429 -1
4 46 1 3 0.375 -1
4 8 47 3 0.375 -1
4   3 0.25 -1
4   5 1 -1
4 42 49 6 0.272727 -1
4 45  6 0.363636 -1
4 8  6 0.363636 -1
4   7 0.222222 -1
4 26 29 7 0.333333 -1
4 2  7 0.444444 -1
4 13  8 1 -1
4   9 1 -1
4 8 55 10 1 -1
4 47  11 1 -1
4 31  12 0.444444 -1
4   12 0.222222 -1
4 24 9 12 0.333333 -1
4 46  13 0.5 -1
4 6  13 0.5 -1
4 46  14 0.666667 -1
4   14 0.333333 -1
4 45  15 1 -1
4 33  16 0.666667 -1
4   16 0.333333 -1
4 19  17 1 -1
4   18 1 -1
4   19 1 -1
4 23 16 20 0.5 -1
4 23 24 20 0.5 -1
4   21 1 -1
4 43 45 22 1 -1
4   23 1 -1
4 53  24 0.571429 -1
4 8 48 24 0.428571 -1
4   25 0.285714 -1
4   25 0.285714 -1
4 6 58 25 0.428571 -1
4 31  26 1 -1
4 32 53 27 1 -1
4 20 37 28 0.428571 -1
4   28 0.285714 -1
4   28 0.285714 -1
4   29 1 -1
4 15 59 30 0.333333 -1
4 6 13 30 0.333333 -1
4 59 23 30 0.333333 -1
4 52  31 0.4 -1
4   31 0.2 -1
4 10  31 0.4 -1
4 27 43 32 0.5 -1
4 33 9 32 0.5 -1
4 3 53 33 1 -1
4 13  34 1 -1
4   35 0.4 -1
4 43 45 35 0.6 -1
4 53  36 1 -1
4   37 0.2 -1
4 40  37 0.4 -1
4 31  37 0.4 -1
4 29  38 0.333333 -1
4 8  38 0.333333 -1
4 1  38 0.333333 -1
4 24 8 39 0.3 -1
4 1  39 0.4 -1
4 33 48 39 0.3 -1
4 29 22 40 0.5 -1
4 2 53 40 0.5 -1
4   41 1 -1
4 16 7 42 0.3 -1
4 15  42 0.4 -1
4 46 7 42 0.3 -1
4 27  43 1 -1
4   44 1 -1
4   45 0.222222 -1
4 7  45 0.444444 -1
4 3 25 45 0.333333 -1
4 27 37 46 0.333333 -1
4 42  46 0.444444 -1
4   46 0.222222 -1
4   47 1 -1
4   48 0.25 -1
4 55 31 48 0.375 -1
4 56 37 48 0.375 -1
4   49 0.5 -1
4   49 0.5 -1
4 42  50 1 -1
4 13  51 0.444444 -1
4   51 0.222222 -1
4 23 33 51 0.333333 -1
4   52 0.5 -1
4   52 0.5 -1
4 46  53 0.363636 -1
4 47  53 0.363636 -1
4 21 3 53 0.272727 -1
4   54 0.222222 -1
4 46 59 54 0.333333 -1
4 9  54 0.444444 -1
4 3 42 55 1 -1
4 23 31 56 0.6 -1
4   56 0.4 -1
4   57 1 -1
4 19 46 58 1 -1
4   59 0.5 -1
4   59 0.5 -1
5 21 24 0 0.272727 -1
5 10  0 0.363636 -1
5 17  0 0.363636 -1
5 16  1 0.666667 -1
5   1 0.333333 -1
5 27  2 1 -1
5 46  3 0.5 -1
5   3 0.25 -1
5   3 0.25 -1
5 13 10 4 0.428571 -1
5   4 0.285714 -1
5   4 0.285714 -1
5   6 1 -1
5 33 42 7 0.333333 -1
5   7 0.222222 -1
5 46  7 0.444444 -1
5   8 0.4 -1
5 29 11 8 0.6 -1
5 6 52 9 1 -1
5 3 25 10 0.375 -1
5 29 6 10 0.375 -1
5   10 0.25 -1
5 56  11 1 -1
5 53 13 12 0.333333 -1
5 20  12 0.444444 -1
5   12 0.222222 -1
5 10  13 1 -1
5   14 0.5 -1
5   14 0.5 -1
5 24 43 15 0.375 -1
5 39 35 15 0.375 -1
5   15 0.25 -1
5   16 1 -1
5   17 0.5 -1
5   17 0.5 -1
5 1 52 18 1 -1
5 46 0 19 0.6 -1
5   19 0.4 -1
5 43  20 1 -1
5 42 31 21 0.6 -1
5   21 0.4 -1
5 26  22 1 -1
5 31 59 23 0.375 -1
5   23 0.25 -1
5 4 0 23 0.375 -1
5 31  24 0.5 -1
5   24 0.25 -1
5   24 0.25 -1
5 43 56 25 1 -1
5 6 4 26 0.428571 -1
5 16  26 0.571429 -1
5 45 43 27 0.6 -1
5   27 0.4 -1
5 45 56 28 0.5 -1
5 15 31 28 0.5 -1
5 33 45 29 0.375 -1
5 33 54 29 0.375 -1
5   29 0.25 -1
5 0  30 0.444444 -1
5 35 20 30 0.333333 -1
5   30 0.222222 -1
5 1  31 1 -1
5 57 44 32 0.428571 -1
5 47  32 0.571429 -1
5 3  33 0.571429 -1
5 58 53 33 0.428571 -1
5 45 46 34 1 -1
5 0  35 0.333333 -1
5 7  35 0.333333 -1
5 10  35 0.333333 -1
5 3 55 36 0.5 -1
5 26 35 36 0.5 -1
5 19  37 1 -1
5   38 0.25 -1
5 47  38 0.5 -1
5   38 0.25 -1
5   39 0.4 -1
5 22 47 39 0.6 -1
5 37  40 0.5 -1
5 13  40 0.5 -1
5 4  41 1 -1
5   42 0.5 -1
5   42 0.5 -1
5 40  43 0.4 -1
5 45 49 43 0.3 -1
5 45 46 43 0.3 -1
5 24  44 0.333333 -1
5 43  44 0.333333 -1
5 35  44 0.333333 -1
5 8 47 45 1 -1
5 29  46 1 -1
5 33  47 0.444444 -1
5   47 0.222222 -1
5 46 3 47 0.333333 -1
5   48 0.285714 -1
5   48 0.285714 -1
5 46 29 48 0.428571 -1
5   49 0.285714 -1
5 40 22 49 0.428571 -1
5   49 0.285714 -1
5 27  50 0.4 -1
5 9 26 50 0.3 -1
5 19 21 50 0.3 -1
5   51 0.222222 -1
5 31  51 0.444444 -1
5 44 32 51 0.333333 -1
5 0 32 52 0.428571 -1
5   52 0.285714 -1
5   52 0.285714 -1
5 45 29 53 0.3 -1
5 22  53 0.4 -1
5 25 13 53 0.3 -1
5 31  54 0.363636 -1
5 4  54 0.363636 -1
5 29 57 54 0.272727 -1
5 13 42 55 0.272727 -1
5 19  55 0.363636 -1
5 26  55 0.363636 -1
5 57  56 0.363636 -1
5 4 59 56 0.272727 -1
5 1  56 0.363636 -1
5 9 30 57 0.428571 -1
5 33  57 0.571429 -1
5 36 43 58 0.428571 -1
5 23  58 0.571429 -1
5   59 0.333333 -1
5 6  59 0.666667 -1
6 36 59 0 0.3 -1
6 53 48 0 0.3 -1
6 27  0 0.4 -1
6 38 24 1 0.3 -1
6 11 42 1 0.3 -1
6 4  1 0.4 -1
6 9  2 1 -1
6 36 8 3 0.428571 -1
6 57  3 0.571429 -1
6   4 1 -1
6 3 24 5 0.5 -1
6 29 27 5 0.5 -1
6 56  7 0.4 -1
6   7 0.2 -1
6 21  7 0.4 -1
6 20 23 8 1 -1
6 59  9 0.363636 -1
6 57 5 9 0.272727 -1
6 21  9 0.363636 -1
6 9 57 10 1 -1
6 9  11 1 -1
6 45  12 0.363636 -1
6 54  12 0.363636 -1
6 36 33 12 0.272727 -1
6   13 0.222222 -1
6 31 54 13 0.333333 -1
6 47  13 0.444444 -1
6   14 1 -1
6 24 57 15 1 -1
6 17  16 0.666667 -1
6   16 0.333333 -1
6   17 0.333333 -1
6   17 0.333333 -1
6   17 0.333333 -1
6   18 0.5 -1
6   18 0.5 -1
6   19 1 -1
6   20 1 -1
6 2 57 21 0.5 -1
6 48 2 21 0.5 -1
6 11 56 22 0.375 -1
6 31 18 22 0.375 -1
6   22 0.25 -1
6 45  23 0.666667 -1
6   23 0.333333 -1
6   24 1 -1
6   25 1 -1
6 30 31 26 0.375 -1
6 36 48 26 0.375 -1
6   26 0.25 -1
6 36 23 27 1 -1
6   28 0.333333 -1
6 19  28 0.666667 -1
6 51 20 29 0.333333 -1
6 57 24 29 0.333333 -1
6 4 16 29 0.333333 -1
6 1 29 30 1 -1
6 1  31 0.666667 -1
6   31 0.333333 -1
6   32 0.4 -1
6 49 3 32 0.6 -1
6   33 1 -1
6 47  34 0.363636 -1
6 51 42 34 0.272727 -1
6 56  34 0.363636 -1
6   35 1 -1
6 58  36 0.666667 -1
6   36 0.333333 -1
6   37 0.285714 -1
6 57 24 37 0.428571 -1
6   37 0.285714 -1
6   38 1 -1
6 46  39 1 -1
6 39  40 0.4 -1
6 19 55 40 0.3 -1
6 9 10 40 0.3 -1
6   41 0.5 -1
6   41 0.5 -1
6 48  42 1 -1
6   43 1 -1
6 17  44 0.444444 -1
6 15 2 44 0.333333 -1
6   44 0.222222 -1
6 29  45 1 -1
6 15  46 0.444444 -1
6   46 0.222222 -1
6 51 24 46 0.333333 -1
6 30 1 47 0.333333 -1
6   47 0.222222 -1
6 31  47 0.444444 -1
6   48 0.333333 -1
6   48 0.333333 -1
6   48 0.333333 -1
6   49 0.5 -1
6   49 0.5 -1
6 29 32 50 1 -1
6   51 0.333333 -1
6   51 0.333333 -1
6   51 0.333333 -1
6 33  52 1 -1
6 57  53 1 -1
6 24 9 54 0.5 -1
6 52 24 54 0.5 -1
6 35  55 0.333333 -1
6 8  55 0.333333 -1
6 45  55 0.333333 -1
6   56 1 -1
6 42  57 0.5 -1
6 12  57 0.5 -1
6 29 10 58 0.6 -1
6   58 0.4 -1
6 24  59 0.666667 -1
6   59 0.333333 -1
7 3 54 0 0.428571 -1
7 9  0 0.571429 -1
7   1 1 -1
7 30  2 0.5 -1
7 56  2 0.5 -1
7 43  3 0.571429 -1
7 37 10 3 0.428571 -1
7   4 0.333333 -1
7 57  4 0.666667 -1
7   5 0.285714 -1
7 32 4 5 0.428571 -1
7   5 0.285714 -1
7 22  6 0.4 -1
7   6 0.2 -1
7 10  6 0.4 -1
7   8 0.333333 -1
7   8 0.333333 -1
7   8 0.333333 -1
7   9 1 -1
7 43 0 10 0.428571 -1
7 43  10 0.571429 -1
7   11 0.222222 -1
7 3  11 0.444444 -1
7 13 57 11 0.333333 -1
7 39 30 12 1 -1
7   13 1 -1
7 1  14 0.571429 -1
7 3 57 14 0.428571 -1
7 55  15 0.363636 -1
7 45  15 0.363636 -1
7 28 59 15 0.272727 -1
7 29 28 16 1 -1
7 11  17 0.666667 -1
7   17 0.333333 -1
7 6  18 0.666667 -1
7   18 0.333333 -1
7   19 1 -1
7   20 0.285714 -1
7   20 0.285714 -1
7 11 51 20 0.428571 -1
7 24  21 0.571429 -1
7 9 4 21 0.428571 -1
7   22 0.4 -1
7 9 46 22 0.6 -1
7 3 1 23 0.3 -1
7 30  23 0.4 -1
7 57 54 23 0.3 -1
7 3  24 0.4 -1
7 31 33 24 0.3 -1
7 31 39 24 0.3 -1
7   25 0.222222 -1
7 1 16 25 0.333333 -1
7 12  25 0.444444 -1
7 21  26 1 -1
7   27 1 -1
7 15 16 28 0.428571 -1
7 9  28 0.571429 -1
7 53 31 29 0.333333 -1
7 57 0 29 0.333333 -1
7 10 47 29 0.333333 -1
7 19 33 30 0.5 -1
7 4 51 30 0.5 -1
7   31 1 -1
7 47  32 0.4 -1
7 39 40 32 0.3 -1
7 54 31 32 0.3 -1
7 21 3 33 0.6 -1
7   33 0.4 -1
7 25  34 1 -1
7   35 0.4 -1
7 5 43 35 0.6 -1
7 8 24 36 0.428571 -1
7 54  36 0.571429 -1
7   37 0.285714 -1
7   37 0.285714 -1
7 42 16 37 0.428571 -1
7   38 0.222222 -1
7 36  38 0.444444 -1
7 39 3 38 0.333333 -1
7 19 45 39 0.272727 -1
7 16  39 0.363636 -1
7 46  39 0.363636 -1
7 31  40 0.5 -1
7 42  40 0.5 -1
7 35 44 41 0.333333 -1
7 33  41 0.444444 -1
7   41 0.222222 -1
7 32 44 42 0.333333 -1
7 8 57 42 0.333333 -1
7 48 31 42 0.333333 -1
7 35  43 0.363636 -1
7 17 2 43 0.272727 -1
7 11  43 0.363636 -1
7   44 0.4 -1
7 16 22 44 0.6 -1
7   45 0.5 -1
7   45 0.5 -1
7 28 55 46 1 -1
7 9  47 0.571429 -1
7 40 27 47 0.428571 -1
7   48 0.2 -1
7 9  48 0.4 -1
7 37  48 0.4 -1
7 31  49 0.363636 -1
7 48  49 0.363636 -1
7 15 21 49 0.272727 -1
7 57 36 50 1 -1
7 42 56 51 1 -1
7 1  52 0.363636 -1
7 24  52 0.363636 -1
7 35 24 52 0.272727 -1
7 49 29 53 1 -1
7   54 0.5 -1
7   54 0.5 -1
7 27  55 0.666667 -1
7   55 0.333333 -1
7 8  56 0.444444 -1
7   56 0.222222 -1
7 43 59 56 0.333333 -1
7   57 0.222222 -1
7 27  57 0.444444 -1
7 37 36 57 0.333333 -1
7 32 20 58 0.428571 -1
7 56  58 0.571429 -1
7   59 1 -1
8 53  0 0.5 -1
8 39  0 0.5 -1
8   1 0.5 -1
8   1 0.5 -1
8 27  2 0.5 -1
8 29  2 0.5 -1
8 31 7 3 0.272727 -1
8 16  3 0.363636 -1
8 24  3 0.363636 -1
8   4 0.333333 -1
8 36  4 0.666667 -1
8 22  5 0.666667 -1
8   5 0.333333 -1
8 46 20 6 1 -1
8   7 0.5 -1
8   7 0.5 -1
8 49  9 1 -1
8 1 13 10 1 -1
8   11 0.25 -1
8 19  11 0.5 -1
8   11 0.25 -1
8 20  12 0.5 -1
8   12 0.25 -1
8   12 0.25 -1
8   13 0.333333 -1
8 53  13 0.666667 -1
8 36 55 14 0.6 -1
8   14 0.4 -1
8 57 31 15 1 -1
8   16 0.5 -1
8   16 0.5 -1
8 56 3 17 0.428571 -1
8 15  17 0.571429 -1
8   18 0.4 -1
8 54 31 18 0.6 -1
8   19 0.25 -1
8   19 0.25 -1
8 33  19 0.5 -1
8 47  20 0.4 -1
8 53  20 0.4 -1
8   20 0.2 -1
8 42 53 21 0.428571 -1
8 25  21 0.571429 -1
8 7 9 22 0.5 -1
8 57 53 22 0.5 -1
8   23 0.25 -1
8 22 11 23 0.375 -1
8 40 52 23 0.375 -1
8   24 1 -1
8 56  25 0.571429 -1
8 48 5 25 0.428571 -1
8   26 1 -1
8 33 56 27 0.333333 -1
8 36 57 27 0.333333 -1
8 4 57 27 0.333333 -1
8 1  28 1 -1
8   29 1 -1
8 56  30 1 -1
8   31 1 -1
8 1  32 0.571429 -1
8 48 36 32 0.428571 -1
8 13 43 33 1 -1
8   34 0.4 -1
8 54 11 34 0.6 -1
8 40 21 35 0.3 -1
8 4 56 35 0.3 -1
8 24  35 0.4 -1
8 27  36 0.444444 -1
8   36 0.222222 -1
8 42 47 36 0.333333 -1
8 5 59 37 1 -1
8   38 1 -1
8 4  39 0.571429 -1
8 25 30 39 0.428571 -1
8   40 0.25 -1
8 43 56 40 0.375 -1
8 2 46 40 0.375 -1
8   41 0.285714 -1
8   41 0.285714 -1
8 7 46 41 0.428571 -1
8   42 1 -1
8   43 1 -1
8 1  44 0.4 -1
8   44 0.2 -1
8 46  44 0.4 -1
8 7 1 45 0.428571 -1
8 28  45 0.571429 -1
8 10  46 0.666667 -1
8   46 0.333333 -1
8   47 0.25 -1
8 48  47 0.5 -1
8   47 0.25 -1
8 27  48 1 -1
8 21 1 49 1 -1
8   50 1 -1
8 23  51 1 -1
8 57 47 52 1 -1
8 3  53 0.666667 -1
8   53 0.333333 -1
8 37  54 0.5 -1
8 5  54 0.5 -1
8 54 6 55 1 -1
8 31 36 56 0.272727 -1
8 3  56 0.363636 -1
8 11  56 0.363636 -1
8 40 36 57 1 -1
8   58 0.285714 -1
8   58 0.285714 -1
8 1 46 58 0.428571 -1
8   59 0.4 -1
8 31 45 59 0.6 -1
9 55  0 1 -1
9 36 19 1 0.428571 -1
9 8  1 0.571429 -1
9   2 0.285714 -1
