0 19  1 1 -1
0 51  53 1 -1
0 35 46 54 0.3 -1
0 12  54 0.4 -1
0 8 60 54 0.3 -1
0 35 72 55 0.5 -1
0 74 72 55 0.5 -1
0 70  56 1 -1
0 24  57 0.5 -1
0 8  57 0.5 -1
0   58 0.25 -1
0 47 61 58 0.375 -1
0 31 64 58 0.375 -1
0   59 0.285714 -1
0 29 8 59 0.428571 -1
0   59 0.285714 -1
0 37 1 60 1 -1
0 34  61 1 -1
0   62 0.5 -1
0   62 0.5 -1
0 14  63 0.5 -1
0 31  63 0.5 -1
0   64 0.4 -1
0 34 54 64 0.6 -1
0 14 35 65 1 -1
0 7 77 66 0.375 -1
0   66 0.25 -1
0 32 76 66 0.375 -1
0 26 13 67 0.333333 -1
0   67 0.222222 -1
0 18  67 0.444444 -1
0   68 0.25 -1
0   68 0.25 -1
0 12  68 0.5 -1
0 60 24 69 0.428571 -1
0   69 0.285714 -1
0   69 0.285714 -1
0   70 0.2 -1
0 74  70 0.4 -1
0 54  70 0.4 -1
0 49  71 1 -1
0 78 54 72 1 -1
0 74 19 73 0.272727 -1
0 53  73 0.363636 -1
0 10  73 0.363636 -1
0 69 75 74 1 -1
0 10  75 0.333333 -1
0 49  75 0.333333 -1
0 11  75 0.333333 -1
0 1 70 76 1 -1
0 43 20 77 0.6 -1
0   77 0.4 -1
0 36 30 78 1 -1
0 58 31 79 0.375 -1
0 61 30 79 0.375 -1
0   79 0.25 -1
1 2  0 0.5 -1
1 56  0 0.5 -1
1 19 76 2 0.333333 -1
1   2 0.222222 -1
1 70  2 0.444444 -1
1   3 0.333333 -1
1 66  3 0.666667 -1
1   4 0.5 -1
1   4 0.5 -1
1   5 0.5 -1
1   5 0.5 -1
1 13  6 0.571429 -1
1 53 72 6 0.428571 -1
1 76 61 7 0.5 -1
1 76 18 7 0.5 -1
1   8 0.333333 -1
1   8 0.333333 -1
1   8 0.333333 -1
1 71  9 0.571429 -1
1 23 11 9 0.428571 -1
1 30 35 10 0.3 -1
1 74 31 10 0.3 -1
1 43  10 0.4 -1
1 17 58 11 1 -1
1   12 0.222222 -1
1 20  12 0.444444 -1
1 31 64 12 0.333333 -1
1 31 3 13 0.6 -1
1   13 0.4 -1
1 13 61 14 1 -1
1 0  15 0.5 -1
1   15 0.25 -1
1   15 0.25 -1
1 46 26 16 0.6 -1
1   16 0.4 -1
1 57  17 0.333333 -1
1 54  17 0.333333 -1
1 46  17 0.333333 -1
1   18 0.333333 -1
1 3  18 0.666667 -1
1   19 0.25 -1
1   19 0.25 -1
1 23  19 0.5 -1
1 47  20 0.5 -1
1   20 0.25 -1
1   20 0.25 -1
1 35 43 21 1 -1
1 53  22 1 -1
1 18 35 23 0.272727 -1
1 40  23 0.363636 -1
1 13  23 0.363636 -1
1 10  24 1 -1
1   25 0.25 -1
1 18 30 25 0.375 -1
1 20 70 25 0.375 -1
1 31 54 26 0.6 -1
1   26 0.4 -1
1 10  27 0.666667 -1
1   27 0.333333 -1
1   28 0.4 -1
1 30 13 28 0.6 -1
1   29 0.25 -1
1 0 41 29 0.375 -1
1 20 46 29 0.375 -1
1 45  30 0.444444 -1
1 78 47 30 0.333333 -1
1   30 0.222222 -1
1 64 7 31 1 -1
1   32 1 -1
1 78 60 33 0.5 -1
1 61 67 33 0.5 -1
1 12  34 1 -1
1 70  35 0.4 -1
1 54  35 0.4 -1
1   35 0.2 -1
1 73  36 0.666667 -1
1   36 0.333333 -1
1 20  37 1 -1
1   38 0.4 -1
1 64 48 38 0.6 -1
1 71 69 39 0.6 -1
1   39 0.4 -1
1   40 0.222222 -1
1 59 11 40 0.333333 -1
1 9  40 0.444444 -1
1 14 49 41 1 -1
1   42 1 -1
1 15 49 43 0.6 -1
1   43 0.4 -1
1 5 31 44 0.5 -1
1 32 26 44 0.5 -1
1 56  45 0.363636 -1
1 7 5 45 0.272727 -1
1 13  45 0.363636 -1
1 36 34 46 0.6 -1
1   46 0.4 -1
1 61  47 0.5 -1
1 45  47 0.5 -1
1 11 32 48 1 -1
1   49 1 -1
1   50 0.285714 -1
1   50 0.285714 -1
1 54 70 50 0.428571 -1
1 13  51 0.5 -1
1 14  51 0.5 -1
1 39  52 0.666667 -1
1   52 0.333333 -1
1   53 0.4 -1
1 55 18 53 0.6 -1
1 23  54 1 -1
1 13  55 1 -1
1 7 3 56 0.428571 -1
1   56 0.285714 -1
1   56 0.285714 -1
1 39  57 0.571429 -1
1 7 61 57 0.428571 -1
1 64  58 1 -1
1 67  59 0.666667 -1
1   59 0.333333 -1
1 39  60 1 -1
1 32 0 61 0.428571 -1
1 35  61 0.571429 -1
1 43  62 1 -1
1 61 51 63 1 -1
1 20  64 0.363636 -1
1 29 18 64 0.272727 -1
1 76  64 0.363636 -1
1 63  65 0.363636 -1
1 30  65 0.363636 -1
1 42 31 65 0.272727 -1
1   66 0.25 -1
1 70 14 66 0.375 -1
1 69 17 66 0.375 -1
1   67 0.25 -1
1   67 0.25 -1
1 61  67 0.5 -1
1 15 39 68 1 -1
1   69 1 -1
1   70 0.222222 -1
1 14  70 0.444444 -1
1 32 6 70 0.333333 -1
1 48  71 1 -1
1 3  72 0.5 -1
1 32  72 0.5 -1
1 46 10 73 0.333333 -1
1 26 20 73 0.333333 -1
1 74 49 73 0.333333 -1
1 51 55 74 1 -1
1   75 0.25 -1
1 5  75 0.5 -1
1   75 0.25 -1
1   76 0.4 -1
1 34 68 76 0.6 -1
1 26 16 77 0.428571 -1
1   77 0.285714 -1
1   77 0.285714 -1
1 64 30 78 0.5 -1
1 56 17 78 0.5 -1
1   79 1 -1
2 9 20 0 0.272727 -1
2 45  0 0.363636 -1
2 13  0 0.363636 -1
2 68  1 0.571429 -1
2 73 30 1 0.428571 -1
2 69 20 3 1 -1
2   4 0.5 -1
2   4 0.5 -1
2 31 14 5 0.3 -1
2 1 39 5 0.3 -1
2 31  5 0.4 -1
2   6 0.333333 -1
2 14  6 0.666667 -1
2 64  7 0.666667 -1
2   7 0.333333 -1
2   8 0.4 -1
2 23 34 8 0.6 -1
2 43 23 9 0.272727 -1
2 37  9 0.363636 -1
2 39  9 0.363636 -1
2   10 0.333333 -1
2 61  10 0.666667 -1
2 79  11 0.444444 -1
2 43 32 11 0.333333 -1
2   11 0.222222 -1
2 75  12 0.571429 -1
2 11 0 12 0.428571 -1
2   13 0.5 -1
2   13 0.5 -1
2 38 61 14 0.428571 -1
2 35  14 0.571429 -1
2 19 29 15 1 -1
2 35 0 16 1 -1
2   17 1 -1
2 14 68 18 0.5 -1
2 29 56 18 0.5 -1
2 70  19 1 -1
2   20 1 -1
2 5  21 0.666667 -1
2   21 0.333333 -1
2 53 31 22 0.5 -1
2 47 69 22 0.5 -1
2 35  23 1 -1
2 10 43 24 0.333333 -1
2   24 0.222222 -1
2 61  24 0.444444 -1
2   25 0.5 -1
2   25 0.5 -1
2 64  26 1 -1
2 74  27 0.4 -1
2 35  27 0.4 -1
2   27 0.2 -1
2 47 74 28 0.3 -1
2 30  28 0.4 -1
2 24 49 28 0.3 -1
2   29 1 -1
2 10  30 0.666667 -1
2   30 0.333333 -1
2 43 3 31 0.428571 -1
2 43  31 0.571429 -1
2 76  32 1 -1
2 3  33 0.4 -1
2 1 14 33 0.3 -1
2 20 60 33 0.3 -1
2 12 67 34 1 -1
2 48  35 0.363636 -1
2 13  35 0.363636 -1
2 12 15 35 0.272727 -1
2 72 17 36 0.428571 -1
2   36 0.285714 -1
2   36 0.285714 -1
2 66  37 0.5 -1
2 32  37 0.5 -1
2   38 0.25 -1
2 68  38 0.5 -1
2   38 0.25 -1
2 30 61 39 0.333333 -1
2 38  39 0.444444 -1
2   39 0.222222 -1
2 49  40 1 -1
2   41 1 -1
2 61 11 42 1 -1
2 70 36 43 1 -1
2 13  44 0.5 -1
2 7  44 0.5 -1
2   45 0.333333 -1
2   45 0.333333 -1
2   45 0.333333 -1
2   46 0.333333 -1
2 35  46 0.666667 -1
2 51  47 0.444444 -1
2 73 61 47 0.333333 -1
2   47 0.222222 -1
2 60  48 0.5 -1
2 74  48 0.5 -1
2 76  49 1 -1
2   50 0.333333 -1
2 35  50 0.666667 -1
2   51 0.285714 -1
2   51 0.285714 -1
2 48 56 51 0.428571 -1
2 35 59 52 0.6 -1
2   52 0.4 -1
2 49  53 0.666667 -1
2   53 0.333333 -1
2   54 0.333333 -1
2 48  54 0.666667 -1
2 7  55 0.4 -1
2 43  55 0.4 -1
2   55 0.2 -1
2   56 1 -1
2 72 24 57 0.428571 -1
2   57 0.285714 -1
2   57 0.285714 -1
2 33 43 58 0.6 -1
2   58 0.4 -1
2 48 30 59 0.333333 -1
2 6 58 59 0.333333 -1
2 23 34 59 0.333333 -1
2 15 39 60 0.428571 -1
2 3  60 0.571429 -1
2 58 7 61 0.6 -1
2   61 0.4 -1
2 64  62 0.363636 -1
2 37 46 62 0.272727 -1
2 35  62 0.363636 -1
2   63 0.25 -1
2   63 0.25 -1
2 0  63 0.5 -1
2 61 35 64 0.6 -1
2   64 0.4 -1
2 24 37 65 1 -1
2 33 14 66 0.375 -1
2   66 0.25 -1
2 11 23 66 0.375 -1
2 25  67 1 -1
2 64  68 0.5 -1
2   68 0.25 -1
2   68 0.25 -1
2 66  69 1 -1
2   70 0.4 -1
2 43 35 70 0.6 -1
2   71 0.285714 -1
2 29 30 71 0.428571 -1
2   71 0.285714 -1
2 25 61 72 1 -1
2   73 1 -1
2   74 0.4 -1
2 46 61 74 0.6 -1
2   75 0.25 -1
2 69 55 75 0.375 -1
2 70 36 75 0.375 -1
2 17  76 0.571429 -1
2 64 79 76 0.428571 -1
2 35 11 77 0.428571 -1
2 32  77 0.571429 -1
2 35 32 78 1 -1
2 67  79 0.4 -1
2 56  79 0.4 -1
2   79 0.2 -1
3   0 0.285714 -1
3 72 41 0 0.428571 -1
3   0 0.285714 -1
3   1 1 -1
3 7 43 2 0.3 -1
3 46  2 0.4 -1
3 36 13 2 0.3 -1
3 11 39 4 0.428571 -1
3   4 0.285714 -1
3   4 0.285714 -1
3 8  5 0.5 -1
3 66  5 0.5 -1
3 47  6 0.4 -1
3 1  6 0.4 -1
3   6 0.2 -1
3 13  7 0.4 -1
3 70  7 0.4 -1
3   7 0.2 -1
3   8 1 -1
3 32  9 1 -1
3   10 0.5 -1
3   10 0.5 -1
3 30 1 11 0.3 -1
3 59  11 0.4 -1
3 20 49 11 0.3 -1
3 33  12 0.571429 -1
3 69 64 12 0.428571 -1
3   13 1 -1
3 47 63 14 0.428571 -1
3 76  14 0.571429 -1
3   15 0.4 -1
3 23 11 15 0.6 -1
3   16 1 -1
3 74 22 17 0.6 -1
3   17 0.4 -1
3   18 0.333333 -1
3   18 0.333333 -1
3   18 0.333333 -1
3 39 35 19 1 -1
3 7 32 20 0.333333 -1
3 12 74 20 0.333333 -1
3 57 53 20 0.333333 -1
3 46  21 0.571429 -1
3 11 38 21 0.428571 -1
3 33  22 0.571429 -1
3 41 65 22 0.428571 -1
3 0  23 1 -1
3 43 53 24 0.6 -1
3   24 0.4 -1
3   25 1 -1
3 32  26 0.333333 -1
3 51  26 0.333333 -1
3 49  26 0.333333 -1
3   27 1 -1
3 58  28 1 -1
3   29 1 -1
3 15  30 0.571429 -1
3 64 9 30 0.428571 -1
3   31 0.285714 -1
3   31 0.285714 -1
3 72 69 31 0.428571 -1
3   32 0.333333 -1
3 61  32 0.666667 -1
3   33 1 -1
3 73  34 0.5 -1
3 74  34 0.5 -1
3   35 1 -1
3 7  36 0.5 -1
3 2  36 0.5 -1
3 72 35 37 0.428571 -1
3   37 0.285714 -1
3   37 0.285714 -1
3 15  38 0.571429 -1
3 17 0 38 0.428571 -1
3 1  39 0.666667 -1
3   39 0.333333 -1
3 43 41 40 1 -1
3 43 38 41 1 -1
3 61  42 0.5 -1
3 43  42 0.5 -1
3 45  43 1 -1
3 18 37 44 1 -1
3 14 54 45 1 -1
3 35  46 0.363636 -1
3 26  46 0.363636 -1
3 41 0 46 0.272727 -1
3   47 0.25 -1
3 38 23 47 0.375 -1
3 10 20 47 0.375 -1
3 41  48 0.571429 -1
3 12 53 48 0.428571 -1
3   49 1 -1
3 61 77 50 1 -1
3 76  51 1 -1
3 35  52 0.5 -1
3   52 0.25 -1
3   52 0.25 -1
3 12 30 53 0.6 -1
3   53 0.4 -1
3 13 59 54 1 -1
3   55 1 -1
3 20 43 56 1 -1
3 50 31 57 0.6 -1
3   57 0.4 -1
3 53  58 0.444444 -1
3 73 20 58 0.333333 -1
3   58 0.222222 -1
3 61 20 59 0.272727 -1
3 74  59 0.363636 -1
3 14  59 0.363636 -1
3 61 72 60 1 -1
3 35  61 0.363636 -1
3 60 17 61 0.272727 -1
3 69  61 0.363636 -1
3 53 16 62 1 -1
3 49 23 63 0.375 -1
3 31 14 63 0.375 -1
3   63 0.25 -1
3 31 0 64 0.6 -1
3   64 0.4 -1
3 32  65 0.571429 -1
3 35 30 65 0.428571 -1
3 1 18 66 0.5 -1
3 35 53 66 0.5 -1
3   67 0.285714 -1
3   67 0.285714 -1
3 30 0 67 0.428571 -1
3   68 0.222222 -1
3 55 74 68 0.333333 -1
3 37  68 0.444444 -1
3   69 0.25 -1
3 40 70 69 0.375 -1
3 66 30 69 0.375 -1
3 35 63 70 1 -1
3 70  71 0.571429 -1
3 31 60 71 0.428571 -1
3 56 55 72 1 -1
3 1 48 73 1 -1
3   74 0.4 -1
3 26 24 74 0.6 -1
3 35  75 0.363636 -1
3 15  75 0.363636 -1
3 77 54 75 0.272727 -1
3 11 14 76 0.333333 -1
3 8 13 76 0.333333 -1
3 30 14 76 0.333333 -1
3 60  77 1 -1
3   78 0.333333 -1
3   78 0.333333 -1
3   78 0.333333 -1
3 30 39 79 0.5 -1
3 14 48 79 0.5 -1
4 64 23 0 0.3 -1
4 14 70 0 0.3 -1
4 3  0 0.4 -1
4 7 20 1 0.5 -1
4 33 31 1 0.5 -1
4 51 30 2 0.333333 -1
4   2 0.222222 -1
4 78  2 0.444444 -1
4 77  3 1 -1
4 53  5 1 -1
4 67 15 6 0.428571 -1
4   6 0.285714 -1
4   6 0.285714 -1
4 48  7 0.571429 -1
4 13 0 7 0.428571 -1
4   8 0.333333 -1
4   8 0.333333 -1
4   8 0.333333 -1
4 53  9 0.571429 -1
4 20 56 9 0.428571 -1
4 26  10 1 -1
4   11 0.333333 -1
4 59  11 0.666667 -1
4 56  12 1 -1
4   13 0.25 -1
4 1 0 13 0.375 -1
4 32 74 13 0.375 -1
4   14 1 -1
4 28  15 0.444444 -1
4   15 0.222222 -1
4 48 32 15 0.333333 -1
4 31  16 0.363636 -1
4 43 57 16 0.272727 -1
4 36  16 0.363636 -1
4 47 23 17 0.428571 -1
4 30  17 0.571429 -1
4 43 26 18 0.428571 -1
4 0  18 0.571429 -1
4   19 1 -1
4   20 1 -1
4 11 15 21 0.6 -1
4   21 0.4 -1
4 0  22 0.4 -1
4 55  22 0.4 -1
4   22 0.2 -1
4   23 0.222222 -1
4 72  23 0.444444 -1
4 15 33 23 0.333333 -1
4 62 76 24 0.375 -1
4 74 43 24 0.375 -1
4   24 0.25 -1
4 30  25 1 -1
4 34  26 1 -1
4 9 70 27 0.5 -1
4 0 43 27 0.5 -1
4 37  28 0.5 -1
4   28 0.25 -1
4   28 0.25 -1
4   29 1 -1
4 26 66 30 0.428571 -1
4   30 0.285714 -1
4   30 0.285714 -1
4 18 74 31 0.6 -1
4   31 0.4 -1
4 11 52 32 0.3 -1
4 70 0 32 0.3 -1
4 74  32 0.4 -1
4   33 0.25 -1
4   33 0.25 -1
4 46  33 0.5 -1
4 43 35 34 1 -1
4   35 0.4 -1
4 14 57 35 0.6 -1
4 11  36 0.333333 -1
4 32  36 0.333333 -1
4 31  36 0.333333 -1
4 3 34 37 0.6 -1
4   37 0.4 -1
4 49 43 38 0.5 -1
4 62 33 38 0.5 -1
4 0  39 0.444444 -1
4 11 51 39 0.333333 -1
4   39 0.222222 -1
4 30 8 40 0.272727 -1
4 32  40 0.363636 -1
4 10  40 0.363636 -1
4 31 69 41 1 -1
4 51  42 0.5 -1
4 64  42 0.5 -1
4   43 0.333333 -1
4 70  43 0.666667 -1
4 26  44 0.363636 -1
4 13  44 0.363636 -1
4 74 51 44 0.272727 -1
4   45 0.285714 -1
4   45 0.285714 -1
4 13 57 45 0.428571 -1
4 35 26 46 0.5 -1
4 61 14 46 0.5 -1
4   47 0.333333 -1
4 63  47 0.666667 -1
4 32  48 0.666667 -1
4   48 0.333333 -1
4 37 12 49 0.333333 -1
4 0  49 0.444444 -1
4   49 0.222222 -1
4 70  50 1 -1
4   51 0.25 -1
4   51 0.25 -1
4 7  51 0.5 -1
4   52 0.5 -1
4   52 0.5 -1
4 1  53 0.666667 -1
4   53 0.333333 -1
4 65  54 0.571429 -1
4 8 49 54 0.428571 -1
4   55 0.333333 -1
4   55 0.333333 -1
4   55 0.333333 -1
4   56 0.4 -1
4 64 54 56 0.6 -1
4 74  57 0.5 -1
4 31  57 0.5 -1
4 24  58 0.4 -1
4   58 0.2 -1
4 26  58 0.4 -1
4 69  59 0.571429 -1
4 2 30 59 0.428571 -1
4   60 0.25 -1
4 7  60 0.5 -1
4   60 0.25 -1
4 74 43 61 0.375 -1
4   61 0.25 -1
4 53 35 61 0.375 -1
4   62 0.25 -1
4   62 0.25 -1
4 77  62 0.5 -1
4 67 76 63 0.3 -1
4 43 31 63 0.3 -1
4 53  63 0.4 -1
4   64 0.333333 -1
4   64 0.333333 -1
4   64 0.333333 -1
4 63 28 65 0.6 -1
4   65 0.4 -1
4 37  66 0.5 -1
4 49  66 0.5 -1
4 13  67 0.571429 -1
4 33 7 67 0.428571 -1
4 46  68 0.444444 -1
4 7 10 68 0.333333 -1
4   68 0.222222 -1
4 63 48 69 0.428571 -1
4 14  69 0.571429 -1
4 32  70 1 -1
4 26  71 0.5 -1
4 76  71 0.5 -1
4 19 49 72 1 -1
4 31  73 0.666667 -1
4   73 0.333333 -1
4   74 0.25 -1
4 34 79 74 0.375 -1
4 31 0 74 0.375 -1
4 36  75 1 -1
4   76 0.25 -1
4   76 0.25 -1
4 0  76 0.5 -1
4   77 1 -1
4   78 0.25 -1
4   78 0.25 -1
4 21  78 0.5 -1
4   79 0.285714 -1
4   79 0.285714 -1
4 23 10 79 0.428571 -1
5 36 18 0 1 -1
5 0 34 1 1 -1
5 14 17 2 0.6 -1
5   2 0.4 -1
5   3 1 -1
5   4 0.25 -1
5 58  4 0.5 -1
5   4 0.25 -1
5 46 0 6 0.6 -1
5   6 0.4 -1
5 58  7 0.666667 -1
5   7 0.333333 -1
5 15 13 8 0.428571 -1
5 24  8 0.571429 -1
5 35  9 0.444444 -1
5   9 0.222222 -1
5 43 57 9 0.333333 -1
5   10 1 -1
5 17  11 0.666667 -1
5   11 0.333333 -1
5 61  12 0.4 -1
5   12 0.2 -1
5 19  12 0.4 -1
5 49  13 1 -1
5   14 0.333333 -1
5 11  14 0.666667 -1
5 77  15 0.666667 -1
5   15 0.333333 -1
5   16 0.4 -1
5 20 19 16 0.6 -1
5 2 13 17 0.428571 -1
5   17 0.285714 -1
5   17 0.285714 -1
5   18 0.5 -1
5   18 0.5 -1
5   19 0.333333 -1
5 69  19 0.666667 -1
5   20 0.5 -1
5   20 0.5 -1
5 58  21 0.444444 -1
5   21 0.222222 -1
5 19 23 21 0.333333 -1
5 26 0 22 0.6 -1
5   22 0.4 -1
5 42  23 0.666667 -1
5   23 0.333333 -1
5   24 1 -1
5 12  25 0.571429 -1
5 28 38 25 0.428571 -1
5 66 61 26 0.6 -1
5   26 0.4 -1
5   27 1 -1
5 69 61 28 1 -1
5   29 1 -1
5   30 0.333333 -1
5 35  30 0.666667 -1
5   31 0.2 -1
5 0  31 0.4 -1
5 18  31 0.4 -1
5 20 43 32 1 -1
5   33 0.222222 -1
5 58  33 0.444444 -1
5 30 3 33 0.333333 -1
5 15 36 34 0.6 -1
5   34 0.4 -1
5 49  35 0.363636 -1
5 77  35 0.363636 -1
5 56 32 35 0.272727 -1
5   36 1 -1
5 34  37 1 -1
5   38 0.222222 -1
5 32 67 38 0.333333 -1
5 10  38 0.444444 -1
5 53  39 0.444444 -1
5   39 0.222222 -1
5 43 1 39 0.333333 -1
5   40 0.5 -1
5   40 0.5 -1
5   41 0.5 -1
5   41 0.5 -1
5   42 1 -1
5 26  43 0.5 -1
5 23  43 0.5 -1
5   44 0.285714 -1
5   44 0.285714 -1
5 30 64 44 0.428571 -1
5   45 1 -1
5 31  46 0.571429 -1
5 53 10 46 0.428571 -1
5 35  47 1 -1
5   48 0.5 -1
5   48 0.5 -1
5   49 0.25 -1
5   49 0.25 -1
5 77  49 0.5 -1
5   50 0.4 -1
5 55 10 50 0.6 -1
5 56 17 51 0.428571 -1
5 24  51 0.571429 -1
5   52 1 -1
5 49  53 1 -1
5   54 0.333333 -1
5 64  54 0.666667 -1
5 1  55 0.571429 -1
5 11 67 55 0.428571 -1
5 55 38 56 0.428571 -1
5 70  56 0.571429 -1
5   57 1 -1
5   58 0.333333 -1
5   58 0.333333 -1
5   58 0.333333 -1
5 39  59 0.666667 -1
5   59 0.333333 -1
5 26  60 1 -1
5 38 10 61 0.333333 -1
5   61 0.222222 -1
5 63  61 0.444444 -1
5 24 43 62 0.333333 -1
5 70 61 62 0.333333 -1
5 7 56 62 0.333333 -1
5 20  63 0.5 -1
5 13  63 0.5 -1
5 74 25 64 1 -1
5   65 0.25 -1
5 39  65 0.5 -1
5   65 0.25 -1
5 56 38 66 0.3 -1
5 48 70 66 0.3 -1
5 0  66 0.4 -1
5   67 0.4 -1
5 41 55 67 0.6 -1
5 8 1 68 0.3 -1
5 26 66 68 0.3 -1
5 67  68 0.4 -1
5 46 15 69 0.428571 -1
5   69 0.285714 -1
5   69 0.285714 -1
5 35  70 1 -1
5 30  71 0.363636 -1
5 35  71 0.363636 -1
5 76 15 71 0.272727 -1
5 29  72 0.363636 -1
5 56  72 0.363636 -1
5 76 37 72 0.272727 -1
5 57  73 0.444444 -1
5   73 0.222222 -1
5 23 48 73 0.333333 -1
5 60 37 74 0.3 -1
5 13 55 74 0.3 -1
5 29  74 0.4 -1
5   75 1 -1
5   76 0.25 -1
5 37  76 0.5 -1
5   76 0.25 -1
5 25  77 0.5 -1
5 32  77 0.5 -1
5 12 43 78 1 -1
5   79 0.333333 -1
5 11  79 0.666667 -1
6   0 0.25 -1
6 59  0 0.5 -1
6   0 0.25 -1
6 7  1 0.363636 -1
6 64 32 1 0.272727 -1
6 25  1 0.363636 -1
6   2 1 -1
6   3 0.25 -1
6 43 19 3 0.375 -1
6 69 29 3 0.375 -1
6   4 1 -1
6 7 15 5 0.272727 -1
6 72  5 0.363636 -1
6 1  5 0.363636 -1
6 38 26 7 0.333333 -1
6 36 32 7 0.333333 -1
6 64 13 7 0.333333 -1
6 69  8 1 -1
6 14 74 9 0.333333 -1
6 11  9 0.444444 -1
6   9 0.222222 -1
6 35  10 0.444444 -1
6 31 18 10 0.333333 -1
6   10 0.222222 -1
6 22 76 11 0.5 -1
6 74 35 11 0.5 -1
6   12 0.285714 -1
6 74 61 12 0.428571 -1
6   12 0.285714 -1
6   13 0.333333 -1
6 43  13 0.666667 -1
6 37 29 14 1 -1
6 14  15 0.571429 -1
6 0 49 15 0.428571 -1
6   16 0.222222 -1
6 74  16 0.444444 -1
6 55 69 16 0.333333 -1
6 61  17 0.444444 -1
6 73 53 17 0.333333 -1
6   17 0.222222 -1
6 73  18 0.571429 -1
6 23 46 18 0.428571 -1
6   19 0.5 -1
6   19 0.5 -1
6 34  20 0.5 -1
6   20 0.25 -1
6   20 0.25 -1
6 43 23 21 0.3 -1
6 58 15 21 0.3 -1
6 35  21 0.4 -1
6   22 0.25 -1
6   22 0.25 -1
6 25  22 0.5 -1
6   23 1 -1
6 66 49 24 0.428571 -1
6   24 0.285714 -1
6   24 0.285714 -1
6 61 35 25 1 -1
6   26 1 -1
6 9 69 27 0.333333 -1
6 55  27 0.444444 -1
6   27 0.222222 -1
6   28 1 -1
6 30  29 1 -1
6 32 56 30 0.272727 -1
6 18  30 0.363636 -1
6 75  30 0.363636 -1
6   31 1 -1
6   32 0.5 -1
6   32 0.5 -1
6 35  33 0.4 -1
6   33 0.2 -1
6 20  33 0.4 -1
6   34 1 -1
6 51  35 0.363636 -1
6 1 23 35 0.272727 -1
6 43  35 0.363636 -1
6 20 43 36 0.5 -1
6 64 68 36 0.5 -1
6 59  37 0.4 -1
6 2  37 0.4 -1
6   37 0.2 -1
6 3 8 38 0.5 -1
6 77 26 38 0.5 -1
6 33  39 1 -1
6   40 1 -1
6 59 34 41 0.333333 -1
6 7  41 0.444444 -1
6   41 0.222222 -1
6 19  42 0.666667 -1
6   42 0.333333 -1
6 18 70 43 0.375 -1
6   43 0.25 -1
6 53 14 43 0.375 -1
6   44 0.25 -1
6   44 0.25 -1
6 38  44 0.5 -1
6 55  45 0.571429 -1
6 20 74 45 0.428571 -1
6   46 0.285714 -1
6   46 0.285714 -1
6 8 30 46 0.428571 -1
6 18  47 0.571429 -1
6 13 49 47 0.428571 -1
